,Relative error mean Counts,Relative error std Counts,Relative error mean Flows,Relative error std Flows,Relative error mean Speeds,Relative error std Speeds,Relative error mean Densities,Relative error std Densities,Cummulative error mean Counts,Cummulative error absolute Counts,Cummulative error mean Flows,Cummulative error absolute Flows,Cummulative error mean Speeds,Cummulative error absolute Speeds,Cummulative error mean Densities,Cummulative error absolute Densities,Absolute error mean Counts,Absolute error std Counts,Absolute error mean Flows,Absolute error std Flows,Absolute error mean Speeds,Absolute error std Speeds,Absolute error mean Densities,Absolute error std Densities
ByteTrack-7,21.060262816618526,21.866412733995634,21.060262816618526,21.866412733995634,18.19422203613467,24.511423883394563,29.228391735575077,32.331813733783335,60.0,9.574468085106384,5400.0,9.574468085106384,378.36642839883064,16.656790728023214,71333.34117641795,9.899646002448563,3.0,2.32379000772445,270.0,209.14110069520052,18.91832141994153,27.128537401125847,3566.667058820897,3761.1852353991862
ByteTrack-8,28.482295043528648,34.04954335890532,28.482295043528648,34.04954335890532,28.267198124991,27.267104887621013,84.33281797234413,113.45221704908226,87.0,8.77659574468085,7830.0,8.77659574468085,577.8091774238441,25.584154419530076,245725.28452619267,72.29975856455515,4.35,5.150485414016818,391.5,463.5436872615137,28.8904588711922,29.826564127523486,12286.264226309633,17062.47097137672
ByteTrack-9,21.992632164332107,23.465506841756596,21.992632164332107,23.465506841756596,21.80286224055682,25.33964834691763,43.1816324365666,54.06934693173315,64.0,2.6595744680851063,5760.0,2.6595744680851063,446.4860733871298,20.325484644552,119184.37856644849,30.517028330734504,3.2,2.9257477676655586,288.0,263.3172990899003,22.32430366935649,28.206407794913627,5959.218928322424,7722.418256456407
ByteTrack-10,25.422961425863413,27.126869966369988,25.422961425863413,27.126869966369988,27.09612670787724,25.641959836096788,71.97092114516437,103.76861358263548,71.0,3.4574468085106385,6390.0,3.4574468085106385,569.1843848779822,25.09053059847894,203147.95254800716,58.98750436317345,3.55,3.201171660501823,319.5,288.1054494451641,28.45921924389911,29.622082729255663,10157.397627400358,14297.176956028818
ByteTrack-11,20.689023065115176,25.510019152892017,20.689023065115176,25.510019152892017,22.87507334177554,22.76266438121339,34.3897136889503,42.82805984950923,56.0,4.25531914893617,5040.0,4.25531914893617,473.7847117705411,21.444909595200322,90650.75911169517,23.1349794275568,2.8,2.9086079144497976,252.0,261.7747123004818,23.689235588527055,23.128918957721428,4532.5379555847585,5308.561726274208
deepsort-7,24.73933400565279,28.011652404166753,24.73933400565279,28.011652404166753,23.582381493891944,24.151535658569713,60.25938915899165,77.62390096699346,70.0,7.446808510638298,6300.0,7.446808510638298,474.78002897997743,21.526758397972642,179717.27542855762,52.383235552948506,3.5,3.556683848755748,315.0,320.1015463880173,23.73900144899887,23.398051103237783,8985.863771427881,12638.308969922018
deepsort-8,19.701954238526096,16.412666072871797,19.701954238526096,16.412666072871797,24.723510626887204,23.791357372690143,55.03292753656522,61.197619311543356,73.0,7.712765957446808,6570.0,7.712765957446808,502.74477008002367,22.423445409964387,155923.2114132177,46.66193608424404,3.65,3.2291639784935047,328.5,290.6247580644154,25.137238504001182,21.89340590651342,7796.160570660885,9155.213569063633
deepsort-9,22.41628014067169,27.1237670766125,22.41628014067169,27.1237670766125,24.864731760678616,24.14666972056958,56.61277229602481,72.34439849215147,61.0,5.053191489361702,5490.0,5.053191489361702,511.4172922563,23.240861296146896,161262.38022322828,48.660584155898576,3.05,3.0409702399069936,274.5,273.6873215916294,25.570864612815,25.53532125216386,8063.119011161414,11080.870735927458
deepsort-10,24.726683649656177,26.022066207969946,24.726683649656177,26.022066207969946,27.6667240003992,22.66400271619325,61.19409102499795,57.450488260667264,79.0,10.372340425531915,7110.0,10.372340425531915,576.8895263352947,26.410949884310106,200346.05359634405,60.71417218546762,3.95,4.811184885243967,355.5,433.006639671957,28.844476316764734,23.05248341016155,10017.302679817203,12533.567853798637
deepsort-11,27.94642433646435,35.39111757088926,27.94642433646435,35.39111757088926,28.15504489490138,25.850480500725954,93.84649576200013,140.4417311122271,76.0,12.76595744680851,6840.0,12.76595744680851,583.5724287395639,26.716904131047983,261080.12488588554,82.44395706665088,3.8,4.057092555020159,342.0,365.1383299518143,29.178621436978194,28.98466545490582,13054.006244294276,19134.053116604024
